"id","movie_name","year","topics","writer","director","actors","official_site","movie_making_zone","IMDb","movie_rate","votes"
"1301753",狮子王 The Lion King,"1994","动画,歌舞,冒险",艾琳·梅琪,"罗,杰,·,阿,勒,斯","乔纳森·泰勒·托马斯,马修·布罗德里克,杰瑞米·艾恩斯,詹姆斯·厄尔·琼斯,莫伊拉·凯利,内森·连恩,尼基塔·卡兰姆,埃林·萨贝拉,乌比·戈德堡,罗温·艾金森",, 美国, tt0110357,9.1,743732.0
"1291561",千与千寻 千と千尋の神隠し,"2001","剧情,动画,奇幻",宫崎骏,"宫,崎,骏","柊瑠美,入野自由,夏木真理,菅原文太,中村彰男,玉井夕海,神木隆之介,内藤刚志,泽口靖子,我修院达也,大泉洋,小林郁夫,上条恒彦,小野武彦",, 日本, tt0245429,9.4,2015390.0
"3011091",忠犬八公的故事 Hachi: A Dog's Tale,"2009",剧情,斯蒂芬·P·林赛,"拉,斯,·,霍,尔,斯,道,姆","理查·基尔,萨拉·罗默尔,琼·艾伦,罗比·萨布莱特,艾瑞克·阿瓦利,田川洋行,杰森·亚历山大,罗伯特·卡普荣",, 美国 / 英国, tt1028532,9.4,1272280.0
"26387939",摔跤吧！爸爸 Dangal,"2016","剧情,家庭,传记,运动",比于什·古普塔,"涅,提,·,蒂,瓦,里","阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔,阿帕尔夏克提·库拉那,沙克希·坦沃,塞伊拉·沃西,苏哈妮·巴特纳格尔,里特维克·萨霍里,吉里什·库卡尼",, 印度, tt5074352,9.0,1413160.0
"1291560",龙猫 となりのトトロ,"1988","动画,奇幻,冒险",宫崎骏,"宫,崎,骏","日高法子,坂本千夏,糸井重里,岛本须美,北林谷荣,高木均,雨笠利幸,丸山裕子,广濑正志,鹫尾真知子,铃木玲子,千叶繁,龙田直树,鳕子,西村朋纮,石田光子,神代知衣,中村大树,水谷优子,平松晶子,大谷育江",, 日本, tt0096283,9.2,1137800.0
"1292434",一一,"2000","剧情,爱情,家庭",杨德昌,"杨,德,昌","吴念真,李凯莉,金燕玲,张洋洋,萧淑慎,尾形一成,陈希圣,林孟瑾,陈以文,柯宇纶,张育邦,柯素云,唐如韫,徐淑媛,曾心怡,陶传正",, 中国台湾 / 日本, tt0244316,9.1,325584.0
"1293359",菊次郎的夏天 菊次郎の夏,"1999","剧情,喜剧",北野武,"北,野,武","北野武,关口雄介,岸本加世子,吉行和子,细川典江,大家由祐子,磨赤儿,铃木忠幸,井手博士,今村鼠,兼子二郎,田中要次,小岛可奈子",, 日本, tt0199683,8.9,523259.0
"6786002",触不可及 Intouchables,"2011","剧情,喜剧",奥利维埃·纳卡什,"奥,利,维,埃,·,纳,卡,什","弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼,奥德雷·弗勒罗,托马·索利韦尔",, 法国, tt1675434,9.3,943430.0
"26628357",一个叫欧维的男人决定去死 En man som heter Ove,"2015",剧情,弗雷德里克·巴克曼,"汉,内,斯,·,赫,尔,姆","罗夫·拉斯加德,巴哈·帕斯,托比亚斯·阿姆博瑞,菲利普·伯格,安娜-莱娜·布伦丁,博瑞·伦贝里,埃达·英格薇,弗雷德里克·埃弗斯,玛德琳·雅各布松,查特里娜·拉松,杰克尔·法尔斯特伦",, 瑞典, tt4080728,8.9,396337.0
"1303021",小鞋子 بچه های آسمان,"1997","剧情,家庭,儿童",马基德·马基迪,"马,基,德,·,马,基,迪","默罕默德·阿米尔·纳吉,法拉赫阿米尔·哈什米安,巴哈丽·西迪奇,纳菲丝·贾法-穆罕默迪,费雷什特·萨拉班迪,Dariush Mokhtari,克里斯托弗·马利基",, 伊朗, tt0118849,9.2,364089.0
"1306861",我是山姆 I Am Sam,"2001","剧情,家庭",杰茜·尼尔森,"杰,茜,·,尼,尔,森","西恩·潘,达科塔·范宁,米歇尔·菲佛,黛安·韦斯特,洛雷塔·迪瓦恩,理查德·希夫,劳拉·邓恩",, 美国, tt0277027,9.0,292249.0
"5912992",熔炉 도가니,"2011",剧情,黄东赫,"黄,东,赫","孔刘,郑有美,金贤秀,郑仁絮,白承焕,张光,金民尚,林贤成,金周灵,严孝燮,全国焕,崔镇浩,金志映,严智星,许在浩,张素妍",, 韩国, tt2070649,9.3,839013.0
"26393561",小萝莉的猴神大叔 Bajrangi Bhaijaan,"2015","剧情,喜剧,动作",卡比尔·汗,"卡,比,尔,·,汗","萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔,纳瓦祖丁·席迪圭,欧姆·普瑞,梅·维贾,席尔帕.舒克拉,拉杰什·沙玛,沙拉蒂·瑟斯纳,阿图·斯里瓦斯塔瓦,阿德南·萨米,马诺·巴克什",, 印度, tt3863552,8.4,445131.0
"30166972",少年的你,"2019","剧情,爱情,犯罪",林咏琛,"曾,国,祥","周冬雨,易烊千玺,尹昉,周也,吴越,黄觉,张艺凡,张耀,张歆怡,赵润南,郜玄铭",, 中国大陆 / 中国香港, tt9586294,8.2,1356140.0
